LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,A_All,A_0to14,A_15to24,A_25to49,A_50to64,A_65plus,M_All,M_0to14,M_15to24,M_25to49,M_50to64,M_65plus,F_All,F_0to14,F_15to24,F_25to49,F_50to64,F_65plus
E01032365,Wychavon 004C,E07000238,Wychavon,-3.04,-6.05,-11.52,-0.65,-9.28,6.61,-2.45,-4.14,-19.49,3.34,-8.39,7.05,-3.58,-7.87,-2.02,-4.44,-10.06,6.28
E01032366,Wychavon 005D,E07000238,Wychavon,2.54,-1.34,9.15,-1.52,-2.56,10.85,4.08,-5.79,3.66,2.19,-1.79,18.28,1.09,3.88,15.49,-5.17,-3.28,5.04
E01032367,Wychavon 004D,E07000238,Wychavon,3.01,-8.33,11.97,-1.66,-4.83,17.57,4.52,-8,-3.7,3.48,-4.88,27.16,1.71,-8.59,32.79,-6.36,-4.79,11.16
E01032368,Wychavon 002A,E07000238,Wychavon,4.98,17.83,6.37,0,-11.24,21.84,7.25,25,11.25,0,-11.36,25.93,2.64,10.32,1.3,0,-11.11,18.28
E01032369,Wychavon 002B,E07000238,Wychavon,0,6.51,-17.18,-6.55,6.67,28.37,-1.35,3.64,-21.74,-7.32,9.62,30.65,1.3,9.52,-12.5,-5.85,3.77,26.58
E01032370,Wychavon 002C,E07000238,Wychavon,2.64,5.64,8.11,-3.21,-0.79,12.95,0.91,8.53,14.67,-10.33,4.17,4.17,4.35,2.92,1.37,4.42,-5.26,21.65
E01032371,Wychavon 002D,E07000238,Wychavon,0.5,10.21,-7.27,-4,-10.4,20.83,1.21,14.04,-19.78,2.18,-13.67,27.91,-0.14,6.61,8.11,-9.76,-7.55,16.15
E01032372,Wychavon 019C,E07000238,Wychavon,-2.74,-11.54,-13.7,-16.07,3.24,19.46,-2.12,0,-20.78,-16.45,3.85,19.02,-3.35,-20.61,-5.8,-15.67,2.66,19.88
E01032373,Wychavon 019D,E07000238,Wychavon,4.7,14.57,-21.14,0,-1.2,19.94,3.4,16.22,-23.81,1.31,-4.91,18.18,6,12.99,-18.33,-1.39,2.35,21.69
E01032374,Wychavon 018D,E07000238,Wychavon,-1.31,-4.92,-26.97,-4.31,9.64,10.25,-1.71,-7.07,-27.27,-12.04,17.04,15.38,-0.92,-2.38,-26.67,3.89,2.76,5.88
E01032375,Wychavon 010A,E07000238,Wychavon,-1.02,-14.77,10.1,-16.99,8.33,10.84,-3.33,-20.41,-11.59,-16.45,9.23,13.82,1.4,-7.69,60,-17.5,7.46,8.19
E01032376,Wychavon 015A,E07000238,Wychavon,2.63,-5.24,-0.6,-0.22,-2.42,19.05,0.8,-2.78,-6.38,3.07,-4.09,10.34,4.47,-7.84,6.85,-3.42,-0.63,26.47
E01032377,Wychavon 014B,E07000238,Wychavon,5.85,2.5,-5.45,1.37,10.62,20.24,8.66,6.12,-2.02,3.48,15.23,25.00,3.06,-1.5,-8.74,-0.97,5.67,16.92
E01032378,Wychavon 014C,E07000238,Wychavon,-1.39,-0.62,-13.1,0.99,-2.14,2.75,-1.91,-6.21,0,-3.21,-4.83,11.21,-0.9,6.08,-22.73,5.46,0.74,-2.17
E01032379,Wychavon 016C,E07000238,Wychavon,-1.15,-7.72,-18.99,-3.28,4.71,24.66,-3.66,-18.02,-15.94,-2.19,-4.33,37.63,1.44,5.04,-22.5,-4.35,14.36,15.08
E01032380,Wychavon 016D,E07000238,Wychavon,0,-7.07,-18.02,2.47,-2.82,10.21,2.31,-7.61,-15.38,6.76,-0.67,13.19,-2.08,-6.6,-20.99,-1.79,-4.73,7.95
E01032381,Wychavon 017A,E07000238,Wychavon,-0.8,-3.36,-14.46,1.01,3.48,4.36,1.42,2.42,-10.43,0,5.70,10.17,-2.9,-9.26,-18.11,2.1,1.6,0.00
E01032382,Wychavon 010B,E07000238,Wychavon,3.07,-3.16,-5.19,-9.97,10.26,20.51,4.61,-1.15,-4.17,-13.71,8.92,36.21,1.66,-4.85,-6.35,-6.45,11.61,8.92
