AREACD,AREANM,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14
E07000008,Cambridge,917.9,948.2,1023,918.3,899.8,921.3,818.5,854.8,822.1,757.3,707.8,803.9,811.2,744.0
E07000009,East Cambridgeshire,768.7,933.5,967.7,844.7,790.1,793.7,860.5,809.7,795,687.7,759,667.8,664.6,756.6
E07000010,Fenland,1116.4,1023.6,1081.4,985.3,1064.4,1045.2,920.3,938.4,874.3,865.8,869.7,857.7,848.7,877.5
E07000011,Huntingdonshire,959.5,965.6,1015.2,901.6,963,922.5,867.8,863.6,780.7,810.3,696.4,802.9,788.7,673.4
E07000012,South Cambridgeshire,928.9,830.5,842.9,825.1,751,760.2,798.4,734.2,767.9,678,623.2,700.8,669.6,671.3
E07000026,Allerdale,1117.7,1149.9,1189.7,1026.3,1002.5,1050.8,1045.8,999.1,977.1,893.2,1012.9,945.1,885.9,896.0
E07000027,Barrow-in-Furness,1049.4,1107.7,1061.3,1054.9,994.4,1018,1018.9,1057.4,959.7,1002.8,998.5,874.3,983.4,940.4
E07000028,Carlisle,1153.4,1085.5,1113.5,991.4,1011,952.9,1005.4,1005.8,950.3,947.3,911.2,962.6,892,794.1
E07000029,Copeland,1075.3,1184.9,1225.7,1113.6,1023.3,1095,1083.6,1140.2,989.4,935.5,1046.3,923.2,1017.7,913.9
E07000030,Eden,925.5,1038.1,1018.4,936,898.2,809.7,921.3,839.7,757.3,861.1,761,756.4,707.2,644.5
E07000031,South Lakeland,976.7,969.6,851.3,942.8,817.1,858.8,883.9,849.7,833.7,813.9,822.1,796,744,706.4
E07000032,Amber Valley,1005.3,1051.6,1117,997.8,940.8,974.3,886.6,980.7,957.2,915.3,824.4,804.1,850.5,859.3
E07000033,Bolsover,1159.1,1170.7,1233.3,1141.2,1191.7,1059.2,1027.1,1155.8,1018.7,996.5,913.8,1018.7,960.7,969.3
E07000034,Chesterfield,1164.3,1101.1,1148.6,1037.6,1123.4,1073.1,932.3,969.6,900.3,913.8,948.5,889.3,940.7,897.2
E07000035,Derbyshire Dales,1069.3,956.1,1009.8,912.5,926.6,934.4,854.2,838.9,784.6,778.7,788.6,771.9,741.3,741.4
E07000036,Erewash,1084.9,1088.7,1039.1,1049.6,928.4,1027,989.6,874.1,910.4,822.4,804.5,796.3,880.9,863.7
E07000037,High Peak,998.7,1102.7,1025.7,1074,1027.2,960.5,898.8,928.1,956.7,800,869.3,903.9,838.2,782.6
E07000038,North East Derbyshire,1082.6,1130.8,1147,1020.6,1120.7,1010.4,1005.7,1043,880,875.9,872.6,901.3,813.4,852.1
E07000039,South Derbyshire,1117.2,1060.2,1174.1,1052.9,1012.1,955.7,926.2,1038,1002.4,844.8,835.7,911.7,950.7,820.9
E07000040,East Devon,850.3,900.4,895.8,832.3,842.3,797.4,792.1,808.6,781.5,724.7,737.4,764.3,753.9,761.9
E07000041,Exeter,944.1,1003.9,891.5,881.8,882.1,796.3,820.6,901.1,782.3,806.3,811.4,793.8,703.7,748.4
E07000042,Mid Devon,891.5,888,908,807.4,809.3,887.2,807.5,842.8,779.3,751.7,663.9,738.9,663.2,679.0
E07000043,North Devon,987.8,890.7,972,919.7,917.5,880.9,837.7,875.2,790.4,767.1,836.7,846.8,811.7,808.9
E07000044,South Hams,888.1,885.7,876.8,866,816.7,779,850.5,752.3,798.1,764,735.6,751,681.5,703.6
E07000045,Teignbridge,906.5,823.1,931,882.4,779.8,796.3,791.6,859.1,851,824.3,763.2,778,743.1,736.2
E07000046,Torridge,1032.4,898.9,1057.2,889.1,879,803.3,837.6,893.1,851.9,724.7,877.2,831.9,849.5,746.3
E07000047,West Devon,983.8,865.6,862.9,824.8,797.6,826,682.5,799.5,810.8,818.5,756.3,759.5,753.4,666.0
E07000048,Christchurch,810,807.6,873.2,776.8,765.3,722.6,802,705.2,683.9,785.7,646.3,647.2,711.5,662.3
E07000049,East Dorset,828.6,819.7,850.8,748.4,773.8,698.8,706.1,749.6,695.9,639,640.6,645.1,657.4,628.8
E07000050,North Dorset,853.3,891.2,901.3,774.7,824.2,775.6,736.2,737.2,719.8,697.8,654.5,703,666.3,632.3
